STATE,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
NEVADA,1999,September,Thunderstorm Wind,0,0,0,0,0
PUERTO RICO,1999,September,Tornado,0,0,0,0,
PUERTO RICO,1999,September,Flood,0,0,0,0,
COLORADO,1999,December,Heavy Snow,0,0,0,0,
COLORADO,1999,December,Heavy Snow,0,0,0,0,
COLORADO,1999,December,Heavy Snow,0,0,0,0,
COLORADO,1999,December,Heavy Snow,0,0,0,0,
GUAM,1999,November,Flood,0,0,0,0,
PUERTO RICO,1999,September,Flood,0,0,0,0,
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,100K
GUAM,1999,November,Funnel Cloud,0,0,0,0,
VERMONT,1999,December,Winter Weather,0,0,0,0,50K
MICHIGAN,1999,December,Heavy Snow,0,0,0,0,
COLORADO,1999,November,Winter Storm,0,0,0,0,0
COLORADO,1999,November,Winter Storm,0,0,0,0,0
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,25K
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,40K
MICHIGAN,1999,December,Heavy Snow,0,0,0,0,
OREGON,1999,October,Cold/Wind Chill,0,0,0,0,
SOUTH CAROLINA,1999,August,Hail,0,0,0,0,
PUERTO RICO,1999,September,Flood,0,0,0,0,
VERMONT,1999,September,High Wind,0,0,0,0,50K
VERMONT,1999,September,High Wind,0,0,0,0,100K
FLORIDA,1999,October,Waterspout,0,0,0,0,
FLORIDA,1999,October,Hurricane (Typhoon),4,0,0,0,54M
FLORIDA,1999,October,Hurricane (Typhoon),0,0,0,0,140M
FLORIDA,1999,October,Hurricane (Typhoon),0,0,0,0,68M
FLORIDA,1999,October,Tornado,0,0,0,0,100K
FLORIDA,1999,October,Flash Flood,0,0,0,0,
VIRGINIA,1999,August,Drought,0,0,0,0,
VIRGINIA,1999,August,Drought,0,0,0,0,
VIRGINIA,1999,August,Drought,0,0,0,0,
VIRGINIA,1999,August,Drought,0,0,0,0,
LOUISIANA,1999,August,Thunderstorm Wind,0,0,0,0,100K
LOUISIANA,1999,August,Thunderstorm Wind,0,0,0,0,5K
LOUISIANA,1999,August,Thunderstorm Wind,0,0,0,0,5K
LOUISIANA,1999,August,Thunderstorm Wind,0,0,0,0,5K
NEVADA,1999,August,Hail,0,0,0,0,
TEXAS,1999,August,Thunderstorm Wind,0,0,0,0,100K
NEBRASKA,1999,August,Hail,0,0,0,0,0
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,25K
SOUTH CAROLINA,1999,August,Thunderstorm Wind,0,0,0,0,
FLORIDA,1999,August,Funnel Cloud,0,0,0,0,
LOUISIANA,1999,August,Thunderstorm Wind,0,0,0,0,5K
LOUISIANA,1999,August,Hail,0,0,0,0,
LOUISIANA,1999,August,Thunderstorm Wind,0,0,0,0,
TEXAS,1999,August,Hail,0,0,0,0,
LOUISIANA,1999,August,Lightning,1,0,0,0,
LOUISIANA,1999,August,Thunderstorm Wind,0,0,0,0,15K
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,25K
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,25K
OREGON,1999,October,Cold/Wind Chill,0,0,0,0,
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,75K
NEBRASKA,1999,August,Thunderstorm Wind,0,0,0,0,0
NORTH CAROLINA,1999,December,Winter Weather,0,0,0,0,
NORTH CAROLINA,1999,December,Winter Weather,0,0,0,0,
NORTH CAROLINA,1999,December,Winter Weather,0,0,0,0,
UTAH,1999,December,Heavy Snow,0,0,0,0,0
UTAH,1999,December,Heavy Snow,0,0,0,0,0
UTAH,1999,December,Heavy Snow,0,0,0,0,0
UTAH,1999,December,Heavy Snow,0,0,0,0,0
VERMONT,1999,November,Winter Weather,0,0,0,0,1K
NEW YORK,1999,November,Winter Weather,0,0,0,0,1K
VERMONT,1999,December,Winter Weather,0,0,0,0,5K
VERMONT,1999,November,Winter Weather,0,0,0,0,1K
NEW YORK,1999,November,Winter Weather,0,0,0,0,1K
NORTH CAROLINA,1999,September,Hurricane (Typhoon),0,0,0,0,
